condition,symbol,horizon,n,mean,median,win_rate,tail_loss_p05,evidence_type
HIGH_PRICE_OI_DECLINE,PS,1,42,-8.19962431422889e-05,-0.0014858021328297277,0.4523809523809524,-0.03770145350726197,local_evidence
HIGH_PRICE_OI_DECLINE,PS,5,42,-0.012309656994152544,-0.012775737090420292,0.40476190476190477,-0.1445551651887351,local_evidence
HIGH_PRICE_OI_DECLINE,PS,10,42,-0.01593889787696888,-0.012715768056246413,0.42857142857142855,-0.1461330337413966,local_evidence
HIGH_PRICE_OI_DECLINE,PS,20,42,-0.03258392425662173,-0.010313207038975869,0.42857142857142855,-0.15704568180650091,local_evidence
HIGH_PRICE_OI_DECLINE,PS,40,42,-0.07335071966444313,-0.03734153924308714,0.2857142857142857,-0.27980051994215993,local_evidence
HIGH_PRICE_OI_DECLINE,RB,1,169,0.001686842868659431,0.0015519917227109215,0.5562130177514792,-0.01834511236769607,local_evidence
HIGH_PRICE_OI_DECLINE,RB,5,169,0.004748775110839214,0.006699147381242332,0.591715976331361,-0.0448315979050655,local_evidence
HIGH_PRICE_OI_DECLINE,RB,10,169,0.007186297269233512,0.010150223304912664,0.591715976331361,-0.05107983015137225,local_evidence
HIGH_PRICE_OI_DECLINE,RB,20,169,0.011668781116241648,0.00931611264027099,0.5680473372781065,-0.09249952914583064,local_evidence
HIGH_PRICE_OI_DECLINE,RB,40,169,0.020022461047540557,0.0041386445938955685,0.5325443786982249,-0.10577581839321264,local_evidence
HIGH_PRICE_BACK_NARROWING,HC,1,207,0.0010300859815395287,0.0009622786759044821,0.5507246376811594,-0.023220335985853276,local_evidence
HIGH_PRICE_BACK_NARROWING,HC,5,207,0.004001338402111123,0.005349712700614129,0.5700483091787439,-0.04891018528679015,local_evidence
HIGH_PRICE_BACK_NARROWING,HC,10,207,0.007004608425005916,0.008456148828219323,0.6183574879227053,-0.0603133139997558,local_evidence
HIGH_PRICE_BACK_NARROWING,HC,20,207,0.002786639026046923,-0.0015851449275362528,0.48792270531400966,-0.08553828664771684,local_evidence
HIGH_PRICE_BACK_NARROWING,HC,40,207,0.022852505897865954,-0.00024348672997320797,0.4975845410628019,-0.07779718557427343,local_evidence
HIGH_PRICE_BACK_NARROWING,I,1,252,0.001310926006424055,0.0001505570611262108,0.5,-0.025915785331300095,local_evidence
HIGH_PRICE_BACK_NARROWING,I,5,252,0.006375704168657761,0.005433617907157795,0.5714285714285714,-0.05383404027112667,local_evidence
HIGH_PRICE_BACK_NARROWING,I,10,252,0.012533806030345747,0.009608538832076352,0.6111111111111112,-0.0842869269949066,local_evidence
HIGH_PRICE_BACK_NARROWING,I,20,252,0.016015797953550376,0.009238444477076668,0.6111111111111112,-0.08057606802454015,local_evidence
HIGH_PRICE_BACK_NARROWING,I,40,252,0.033893528228575824,0.02876188994862383,0.6904761904761905,-0.0791206028747158,local_evidence
HIGH_PRICE_BACK_NARROWING,J,1,177,0.001086965549562117,0.001046298718283989,0.5536723163841808,-0.024716962227644856,local_evidence
HIGH_PRICE_BACK_NARROWING,J,5,173,0.007516754501183408,0.011635103354375564,0.6184971098265896,-0.0623938262643484,local_evidence
HIGH_PRICE_BACK_NARROWING,J,10,171,0.012265527231633622,0.01662084478880277,0.5789473684210527,-0.08025846803309067,local_evidence
HIGH_PRICE_BACK_NARROWING,J,20,171,0.006765283094564276,0.005446443307476567,0.5497076023391813,-0.13636838515416266,local_evidence
HIGH_PRICE_BACK_NARROWING,J,40,171,-0.002756658277555644,-0.014179608372721142,0.4502923976608187,-0.1529259804191514,local_evidence
HIGH_PRICE_BACK_NARROWING,JM,1,197,0.001361118837638368,0.001955416503715224,0.5329949238578681,-0.03137453090793558,local_evidence
